"";"volumeInfo.title";"volumeInfo.publisher";"volumeInfo.description";"volumeInfo.categories";"volumeInfo.language";"volumeInfo.authors"
"1470";"Women";"LGF/Le Livre de Poche";"Henry Chinaski, c'est Bukowski lui-même, un écrivain alcoolique et grand amateur de femmes. Elles défilent dans ce récit, véritables créatures felliniennes, Lydia Vance qui se révèle d'une jalousie féroce, Mercédès la capiteuse, Dee Dee la mère célibataire, Joanna la camée, Katherine la Texane incendiaire, et bien d'autres encore ; les occasions pleuvent sur un poète en vogue ! La norme est triste pour Bukowski, alors vive les mots orduriers, l'ivresse et la débauche sexuelle. Le célèbre auteur des Contes de la folie ordinaire crie à nouveau son mal de vivre, son désir sans cesse renaissant de tendresse et de sexe.";"Fiction";"fr";"Charles Bukowski"
"1471";"Blacksad - tome 1 - Quelque part entre les ombres";"Dargaud";"Attention chef-d'oeuvre ! L'histoire d'un privé qui veut venger son ex-fiancée assassinée, rappelle celle des grands maîtres du polar le plus noir. Cette tragédie classique transfigurée par un dessin sublime, d'une Maestria époustouflante, qui fait de ce polar l'une des plus grande surprise de l'année.";"Fiction";"fr";"diaz Canales"
"1472";"Le roman d'aventure";NA;"Qu'est-ce qu'un roman d'aventure ? En 1913 Jacques Rivière donne une définition surprenante à plus d'un titre. Cette remarquable étude introuvable et légendaire affirme que "" Le roman d'aventure, c'est un roman qui s'avance à coups de nouveauté "". D'après Rivière, ce que le lecteur vient chercher, c'est "" quelque chose qui est à la fois inconnu et absolument inévitable "". La forme de l'œuvre prévaut sur sa matière au point que les accidents comme les sentiments lui sont assujettis, et il en donne pour exemples Le Reflux de Stevenson, Le Grand Meaulnes de son ami Alain-Fournier ou Le Comte de Monte-Cristo. Dans cette logique, l'aventure doit nous égaler "" à tout ce qu'il y a de prodigieux dans l'univers "" afin que nous puissions nous abandonner à la beauté du monde. Il faut aujourd'hui lire ou relire Le Roman d'aventure, ce texte prophétique qui a influencé plusieurs générations de créateurs et qui, à l'épreuve du temps, reste un superbe manifeste.";"Fiction";"fr";"Jacques Rivière"
"1473";"Si c'est un homme";NA;"Le récit de son internement à Auschwitz.";"Fiction";"fr";"Primo Levi"
"1474";"Paroles de Poilus";"J'Ai Lu";"Librio vous propose une série de témoignages exceptionnels, recueillis par Jean-Pierre Guéno auprès des 14 millions d'auditeurs de Radio France. Ces extraits de lettres, de journaux intimes et de récits autobiographiques sont authentiques, tendres et poignants ; ils illustrent notre mémoire collective et rendent à l'histoire sa dimension humaine. Ils avaient dix-sept ou vingt-cinq ans. Se prénommaient Gaston, Louis, René. Ils étaient palefreniers, boulangers, colporteurs, ouvriers ou bourgeois. Ils devinrent soudainement artilleurs, fantassins, brancardiers... Voyageurs sans bagage, ils durent quitter leurs femmes et leurs enfants, revêtir l'uniforme mal coupé et chausser les godillots cloutés... Sur huit millions de mobilisés entre 1914 et 1918, plus de deux millions de jeunes hommes ne revirent jamais le clocher de leur village natal. Plus de quatre millions subirent de graves blessures... Huit mille personnes ont répondu à l'appel de Radio France visant à collecter les lettres, jusqu'ici éparpillées, de ces Poilus. Cet ouvrage en présente une centaine. Des mots écrits dans la boue et qui n'ont pas vieilli d'un jour. Des mots déchirants, qui devraient inciter les générations futures au devoir de mémoire, au devoir de vigilance comme au devoir d'humanité.";"Fiction";"fr";"Jean-Pierre Guéno,Collectif,Yves Laplume"
"1475";"Dracula de Bram Stoker (Fiche de lecture)";"Primento";"Décryptez Dracula de Bram stoker avec l’analyse du PetitLitteraire.fr ! Que faut-il retenir de Dracula, le roman mythique de la littérature fantastique ? Retrouvez tout ce que vous devez savoir sur cette œuvre dans une fiche de lecture complète et détaillée. Vous trouverez notamment dans cette fiche : • Un résumé complet • Une présentation des personnages principaux tels que le comte Dracula, le professeur Abraham Van Helsing et Jonathan Harker • Une analyse des spécificités de l’œuvre : le mythe du vampire, la science et les superstitions, Éros et Thanatos : érotisme, mort et psychanalyse dans Dracula, et les écrits et l'écriture Une analyse de référence pour comprendre rapidement le sens de l’œuvre. LE MOT DE L’ÉDITEUR : « Dans cette nouvelle édition de notre analyse de Dracula (2014), avec Agnès Fleury, nous fournissons des pistes pour décoder ce chef d’œuvre incontournable de la littérature fantastique. Notre analyse permet de faire rapidement le tour de l’œuvre et d’aller au-delà des clichés. » Stéphanie FELTEN À propos de la collection LePetitLitteraire.fr : Plébiscité tant par les passionnés de littérature que par les lycéens, LePetitLittéraire.fr est considéré comme une référence en matière d’analyse d’œuvres classiques et contemporaines. Nos analyses, disponibles au format papier et numérique, ont été conçues pour guider les lecteurs à travers la littérature. Nos auteurs combinent théories, citations, anecdotes et commentaires pour vous faire découvrir et redécouvrir les plus grandes œuvres littéraires. LePetitLittéraire.fr est reconnu d’intérêt pédagogique par le ministère de l’Éducation. Plus d’informations sur http://www.lepetitlitteraire.fr";"Fiction";"fr";"Agnès Fleury,lePetitLittéraire.fr,"
"1476";"le lien";"Blanche";"Livre-culte de la littérature érotique, Le Lien est devenu la référence de l'univers sadomasochiste autant par la puissance qui se dégage de ses pages que par la disparition tragique de son auteur à 21 ans. Récit troublant de la passion et de la douleur, Le Lien nous raconte l'amour paradoxal que Vanessa Duriès voue à Pierre, son premier amant et son initiateur en domination. Plongée dès sa première expérience sexuelle dans un univers érotique extrême, Vanessa Duriès analyse parfaitement le lien ténu qui unit, dans la souffrance et l'humiliation, la soumise à son maître. Ce qui peut paraître choquant dans ces séances de domination devient, pour Vanessa, une preuve naturelle et indiscutable de sa passion amoureuse. Si Vanessa éprouve un bonheur intense à tout ce qu'elle endure, c'est qu'ainsi elle atteste à tous de l'amour qu'elle porte à son maître. Un récit d'une franchise presque candide où une jeune fille nous livre ce qui la pousse à reculer sans cesse les limites de son adoration au travers ses multiples souffrances qui sont devenues sa normalité amoureuse.";"Fiction";"fr";"Vanessa Duries"
"1477";"Je reviens te chercher";"XO Éditions";"à où l’on aime, il ne fait jamais nuit... Un matin, Ethan reçoit le faire-part de mariage de Céline, la femme qu'il aimait et qu'il a quittée pour se consacrer à sa fulgurante carrière. Désormais devenu l’un des plus brillants thérapeutes de Manhattan, Ethan est riche, célèbre, mais terriblement seul. Il lui reste une journée pour rattraper son erreur et reconquérir Céline. Vingt-quatre heures folles et pleines de mystère au bout desquelles il sera tué par un inconnu. C'est alors que l’incroyable se produit : la journée recommence. Ethan se réveille, au même endroit, le même matin, comme si le destin lui permettait de revivre ce moment décisif. Réussira-t-il, cette fois, à saisir la chance de sa vie ? « Une construction originale et maîtrisée, un style reconnaissable entre mille, des personnages forts, tout y est. » Metro « Guillaume Musso signe un véritable polar existentiel, construit comme une mécanique de précision.» Le Figaro";"Fiction";"fr";"Guillaume Musso"
"1478";"La nostalgie de l'ange";"J'Ai Lu";"L'histoire commence après le viol et le meurtre de Susie, 14 ans. Depuis le paradis, elle observe tendrement ceux qu'elle a laissés, sa famille, le policier chargé de l'enquête, son meurtrier. Son regard plein d'émotions dépasse l'horreur et la douleur, pour inspirer le pardon, la renaissance et la vie. Premier roman.";"Fiction";"fr";"Alice Sebold"
"1479";"World War Z";"Livre de Poche";"La guerre des zombies a eu lieu, manquant d'éradiquer l'humanité. Le narrateur, en mission pour l'ONU, a parcouru le monde pour rencontrer, dans des cités en ruine et dans les territoires les plus inhospitaliers de la planète, les survivants de ces années apocalyptiques. Le mythe des morts vivants revisité sous l'angle de la critique sociale et politique.";"Fiction";"fr";"Max Brooks,Patrick Imbert"
"1480";"Comment se débarrasser d'un vampire amoureux";"Livre de Poche";"Jessica attendait beaucoup de son année de Terminale : indépendance, liberté, fêtes...Elle n'avait certainement pas vu venir Lucius Vladescu ! Adoptée seize ans plus tôt en Roumanie, Jessica découvre avec stupeur qu'elle est fiancée à un prince vampire depuis sa plus tendre enfance, et qu'il a bien l'intention de réclamer sa promise. Séduisant, ténébreux, romantique, Lucius est persuadé que Jessica va lui tomber dans les bras. Mais la jeune fille a d'autres projets et pas la moindre envie de suivre un inconnu en Roumanie, tout prince vampire qu'il soit.Beth Fantaskey signe là une comédie romantique riche en suspense et en rebondissements, où les amoureuses de vampires (et les autres) trouveront bon nombre de conseils avisés...";"Fiction";"fr";"Beth Fantaskey"
"1481";"Seras-tu là ?";"XO Éditions";""" - Papa ? - Non, Elliott, je ne suis pas ton père. - Alors, qui êtes-vous ? L'homme me posa la main sur l'épaule. Une lueur familière brilla dans ses yeux. Il sembla hésiter quelques secondes avant de répondre : - Je suis toi, Elliott... Je reculai d'un pas avant de me figer sur place, comme foudroyé. L'homme termina sa phrase : - Je suis toi, dans trente ans. "" Qui n'a jamais souhaité pouvoir remonter le temps ? Pour réécrire sa vie et changer son destin ? ""Ce face-à-face plein de tendresse ne manque pas de charme. "" L'Express "" Un cocktail explosif de suspense et d'imagination. (...) Guillaume Musso nous balade avec une belle dextérité dans ce Retour vers le futur du cœur. Il faut se l'avouer, on se relève la nuit pour dévorer la fin. "" ELLE";"Fiction";"fr";"Guillaume Musso"
"1482";"La Porte des Dieux - Volume 1 - L'épreuve";"Éditions Hélène Jacob";"- Troisième millénaire avant Jésus-Christ, Babylone, la plus grande ville du monde, prestige de l’empire… Règne de Nabuchodonosor II… : la découverte d’un extraordinaire secret ! - Il y a seize ans, à notre époque, quelque part en France : le massacre de toute une famille. - Un mystérieux « inconnu » parfaitement désagréable. - Et, plus près de nous, de nos jours: la rencontre de quatre mystérieuses jeunes femmes, très belles, dans la capitale de l’Ukraine. Quel lien existe entre ces événements ? Le jeune Christian aura un long chemin à parcourir (échappant même, de justesse, à un attentat) pour réussir à accomplir son destin. Il ne sera pas au bout de ses surprises ! ----------------------------------------------------------------- La ""Porte des Dieux"" est une trilogie de fiction, dont ""L'épreuve"" représente le premier volet. Cette aventure débute au troisième millénaire avant Jésus-Christ, sous le règne d’un des plus grands souverains de l’Asie mineure, et va traverser les âges pour continuer de dérouler sa trame à notre époque… et se prolonger bien au-delà dans le temps et l’espace. Tout commence, par un mystérieux Conseil, hors du temps et de l’espace humain… Et, ensuite, bien longtemps avant le début de l’ère chrétienne, la découverte et la révélation d’un fabuleux secret… Puis nous retrouvons à notre époque, plus près de nous, où un adolescent, le jeune Christian Nyounae (le héros principal de cette première partie), va voir disparaître, dans des conditions dramatiques, tous les êtres qui lui étaient chers et toutes ses belles illusions d’adolescent privilégié. Au comble du désespoir, il n’aura pas d’autres alternatives que de puiser en lui. Pour repartir de zéro, il devra plonger à l’intérieur de lui-même afin de pouvoir éclairer son propre chemin et tracer sa route vers ce futur… ses étoiles. Cette course le fera voyager dans l’Europe et tous ses efforts ne seront pas vains ; il fera des rencontres, plus ou moins agréables, surprenantes, insolites. L’engagement, l’obstination… et son intuition seront son moteur. Il ne sera pas au bout de ses surprises.";"Fiction";"fr";"Frédéric ADAM"
"1483";"Un chien de ma chienne";"Éditions Hélène Jacob";"Dans ses multiples voyages, l’auteur s’est toujours intéressé aux singularités locales. Deux curiosités hors du commun lui ont inspiré ce roman. D’abord, un incroyable calculateur astronomique grec qui démontrait, trois siècles av. J.-C., que la Terre était ronde et qu’elle tournait autour du Soleil. Incroyable, mais vrai ! Ensuite les amish, cette étonnante secte créationniste américaine qui vit dans la plus pure tradition du XVIIIe, qui prêche que la Terre est plate et qui s’acharne à détruire toute preuve de sa rotondité. Plutôt choquant au XXIe siècle ! La disparition du calculateur conservé au musée d’Athènes amènera l’enquête au cœur de la secte, dont les membres extrémistes veulent détruire cette antiquité contredisant les textes bibliques. Mais ce qui pouvait apparaître cousu de fil blanc au départ s’avérera vite être un imbroglio inextricable. Manipulations, faux-semblants, infiltrations, traquenards, meurtres en série, rebondissements, trahisons seront le quotidien de l’enquêtrice qui va vite regretter d’avoir mis le doigt dans l’engrenage. Les islamistes ne sont pas les seuls à être dangereux. Certains chrétiens le sont aussi. ""Un Chien de ma Chienne"" fait partie de ces livres qu’on ne lâche pas avant de l’avoir fini.";"Fiction";"fr";"Gilbert PETIT"
"1484";"Le Sable et le Sang";"Éditions Hélène Jacob";"Construit comme une suite de vidéos retraçant les événements dramatiques de 2012 (depuis la rébellion touareg, jusqu’à la prise de pouvoir par les islamistes, à l’imposition de la charia, aux luttes intestines et aux exactions qui ont suivi, en passant par les interventions des services secrets et leurs conséquences en termes de prises d’otages), ""Le Sable et le Sang"" nous fait partager les périls d'une femme dénuée de scrupules, qui aime affronter le danger pour faire de l'argent et que la DGSE va payer grassement pour infiltrer les belligérants.Sa mission : enrayer l'alliance entre rebelles touaregs, terroristes et djihadistes islamistes. Sa passion pour le baroud et l'appât du gain la conduiront dans un piège dont il lui sera difficile de sortir… Ce roman est aussi un hommage au peuple touareg et aux territoires grandioses du Nord Mali, du désert du Tanezrouft au chaos granitique de l’Adar des Iforhas, des villes de Gao, Tombouctou, Kidal, Taoudénit, jusqu’à la majesté tranquille du fleuve Niger. Les droits d’auteurs issus des ventes de ce roman sont, dans leur intégralité, consacrés à l’amélioration de l’éducation scolaire d’enfants touaregs de la région d’Agadez.";"Fiction";"fr";"Gilbert PETIT"
"1485";"Deux singes ou ma vie politique";"Editions Gallimard";"'La France des années 70 est un banquet gaulois où l'on boit et mange en parlant fort sous le regard magnanime de nos hommpolitiques punaisés au mur comme on place un patriarche en bout de table. Moi je suis à l'autre bout, disposé à imiter ce qui passe, à devenir un adulte comme ceux qui me nourrissent, me servent des grenadines, me reprennent si je jure, me déposent à l'école publique. Bientôt je prendrai leur place, puis celle du patriarche. Une vie se sera passée et dedans il y aura eu de la politique, dès le début et jusqu'à la fin. Elle ne s'est pas passée comme ça.' Ni manuel de conduite, ni texte prosélyte, ni justification complaisante, ni examen de conscience, ni autoportrait générationnel, Deux singes ou ma vie politique emprunte à l'ensemble de ces registres, tout en les détournant de leurs lieux communs.";"Fiction";"fr";"François Bégaudeau"
"1486";"Capricorne - tome 05 - Le secret";"Le Lombard";"Parmi les individus masqués qui l'ont enlevée et comptent pratiquer sur elle, d'horribles expériences, Ash Grey, l'assistante de Capricorne, a cru reconnaître son père décédé. Secondé par l'agent secret Ron Dominic, Capricorne tente de son côté, d'élucider de mystérieux phénomènes de disparitions parmi le peuple des égouts et soupçonne l'un de ses plus farouches adversaires présumés mort d'en être l'instigateur ! Ces affaires sont-elles liées ? Tandis qu'un étrange homme au chapeau épie les découvertes de plus en plus sidérantes de Capricorne, un énigmatique homme en cape veille sur Ash et l'aide à se libérer de ses ravisseurs. Qui est ce personnage qui laisse derrière lui des cartes de visite bizarres ? Ash le sait, mais pourra-t-elle en garder le secret ?";"Fiction";"fr";"Andreas"
"1487";"PACK DÉCOUVERTE e-ros 1 - Sexagésime (eBooks & livre audio MP3)";"Editions Dominique Leroy";"Ce premier pack découverte comprend 6 titres de la collection e-ros et un livre-audio, lecture par ChocolatCannelle de Sexagésime de Ian Cecil : Fais-moi mal ou L'Art de rester de marbre de Miriam Blaylock, couverture illustrée par Jahyra. Deux femmes que tout semble diviser mais que le sadomasochisme rapproche. Lettres à un premier amant, recueil de nouvelles d'Anne Bert, Ian Cecil, Dominique Lalouve, Isabelle Lorédan et Piko, couverture illustrée par Panhoria. Cinq lettres de styles différents pour raconter l'amour et le désir pour un premier amant. Le Petit Chaperon vert de Miriam Blaylock, couverture et 6 illustrations en hors-texte et en couleurs de Jérémy Kartner. Un pastiche du conte Le Petit Chaperon rouge. Que la chair exulte ! d’Isabelle Lorédan, couverture illustrée par Sandokan. La libération sexuelle d'une femme à travers des expériences d'amour à trois, d'exhibition... La Résidante du palais de Jean Claude Thibaud, couverture illustrée par Clem’. Rencontre amoureuse en forêt pour un personnage handicapé par un appendice très particulier. Sexagésime de Ian Cecil, couverture illustrée par Jérémy Kartner. Des contes médiévaux lestes et enjoués ! Et, en bonus, un livre audio gratuit, le conte grivois Sexagésime lu par ChocolatCannelle. Des auteurs novices ou plus confirmés, tous amateurs d’érotisme, se donnent rendez-vous dans cette nouvelle collection qui se veut dynamique : des textes inédits, courts, adaptés à des lectures d’aujourd’hui, à parcourir avec délectation sur l'écran des ordinateurs, smartphones, tablettes et autres liseuses. Pack numérique, 6 livres numériques à prix réduit (-18%) et un livre audio gratuit (MP3).";"Fiction";"fr";"Collectif,"
"1488";"Cassio - tome 6 – L'appel de la souffrance";"Le Lombard";"Ils l'avaient pourtant tué ! Quatre assassins, et autant de coups de couteau ! Mais les preuves découvertes par l'archéologue Ornella Grazzi indiquent formellement qu'un mois après son décès, Cassio est revenu d'entre les morts, promettant l'enfer à ses bourreaux. Ce miracle ne peut avoir été dû qu'à une chose : ses mystérieuses poudres, qui lui permirent de faire sensation à Rome, nonobstant les nombreuses jalousies. Ses poudres, qui suscitent toujours autant de convoitise, vingt siècles plus tard...";"Fiction";"fr";"Stephen Desberg"
"1489";"Teleny";"La Musardine";"Ignoré (très volontairement) pendant longtemps de ses biographes, Teleny est pourtant un des meilleurs romans d'Oscar Wilde, en tout cas celui où il livre le plus librement sa nature sexuelle profonde et contradictoire. Conçu semble-t-il au début comme une sorte de jeu littéraire érotique avec certains de ses amis, Teleny fut très vite repris totalement par Wilde lui-même, et publié clandestinement à Londres – à très petit tirage et hors de prix. Et traduit à Paris (toujours clandestinement, évidemment) seulement en 1934. Or Teleny est probablement le roman le plus révélateur de Wilde, et avant tout, répétons-le, à travers des audaces sexuelles où la clandestinité lui permet de s'aventurer plus franchement que jamais. Si l'on n'a jamais encore découvert Oscar Wilde, c'est par Teleny qu'il faut commencer.";"Fiction";"fr";"Oscar Wilde"
"1491";"L'Incal - tome 5 - La Cinquième Essence - Première partie : Galaxie qui songe";"Izneo";"L’édition restaurée du cinquième tome de ce trésor de la bande dessinée.";"Fiction";"fr";"Moebius,Alexandro Jodorowsky"
"1492";"L'Exécuteur no285 : Les Cercueils de Cape Liberty & Pluie de coke sur Ocean Beach";"Exécuteur";"""Les cercueils de Cape Liberty Le Guerrier avait mesuré son élan pour ne pas heurter le bas de caisse du Dodge. Il frôla du haut du crâne le marchepied et s’immobilisa juste en dessous. Au bout de son bras tendu, le canon pointé du Beretta se releva de quelques centimètres. A dix mètres, le pourri n’avait aucune chance. Pluie de coke sur Ocean Beach Le coup de pied de l’Exécuteur atteignit le porte-flingue au-dessus du coude. L’articulation craqua avec un petit bruit sinistre, immédiatement suivi du cri de douleur. Le Guerrier doubla du tranchant de la main au larynx, et le cri se transforma en couinement, stoppé net par le canon du Beretta, qui lui heurta violemment la pommette et le jeta au sol. """;"Fiction";"fr";"Don Pendleton"
"1493";"Fables";"12-21";"Pour la comédie, la tragédie ou l'éloquence, toutes les places étaient déjà prises. La Fontaine ressuscite alors la fable, qui dormait depuis l'antiquité et le Moyen Âge. Un genre très humble mais qui lui offrait tout le théâtre de l'univers. Avec des animaux, il allait bâtir une comédie humaine immense et prodigieuse de délices et de cruauté, et réinventer, dirait-on, la langue française. Il parle déjà comme nous parlons aujourd'hui. La Fontaine était un enfant, un sphinx, un farceur, un philosophe, un génie du langage. La légende de sa bonhomie distraite et paresseuse cache un sage oriental, un voluptueux, un sorcier, un enchanteur, un poète adorable. Rien n'égale, dans aucune littérature, la popularité de ses fables. Le lire et le relire, c'est retrouver le paradis sur terre.";"Fiction";"fr";"Jean de LA FONTAINE"
"1494";"L'enchanterie";"Grasset";"Comme c'est fragile, la vie ! Ainsi pense André Stil - et qui ne penserait comme lui ? Il situe en Roussillon, en l'étendant jusqu'aux limites du pays catalan, la belle histoire de Laure. C'est une petite fille qui va devenir, à toute vitesse, une jeune fille, puis une jeune femme... Elle se marie à un homme qui a le double de son âge et la laissera veuve très tôt. Son esprit est hanté par le souvenir d'un amour adolescent, qui a mal tourné et qui incarne le côté noir de la vie. Face noire qu'elle ne connaîtra jamais vraiment car un don est en elle, celui de la musique et du chant. Elle joue de la guitare comme, pense-t-on dans son entourage, personne. Généreuse, elle va, malgré les grandes difficultés de l'entreprise, chercher dans le vieux répertoire catalan afin de le sauver et de le régénérer. Comme la grâce de la vie couronne ceux que l'art a choisi, elle connaîtra, après un long veuvage, un musicien roumain, le guitariste Ion, avec qui elle refera, pour son bonheur et celui de sa fillette Lise, sa vie... {L'Enchanterie} est un chant du monde et des êtres.";"Fiction";"fr";"André Stil"
"1495";"Ramsès II l'immortel T2 : Le roi des millions d'années";"Archipel";"Comme son père Séthi Ier, le jeune Ramsès II (-1305 av. J-C -1213 av. J-C) - 26 ans au début de son règne - entend protéger les intérêts de l'Égypte à l'Est contre les Hittites d'Asie. Il met sur pied une puissante armée et établit son camp de base à Pi-Ramsès qu'il transforme en capitale de son empire. Une fois les questions d'approvisionnement réglées, il manoeuvre en plusieurs campagnes pour assurer ses arrières en Syro-Palestine. La célèbre bataille de Qadesh, lors de la cinquième année de règne, n'est qu'une semi-victoire. Ce deuxième volet couvre les longues années d'un règne sans partage. Outre les monuments qu'il fait bâtir à travers tout le pays, le « roi des millions d'années » fait sculpter nombre de statues à son image et graver son nom sur presque tous les temples dont ceux d'autres pharaons, comme s'il les avait fait construire lui-même. De ses six grandes épouses royales et innombrables concubines, il aura 52 héritiers mâles. Le premier, Khaemouaset, choisit de devenir grand-prêtre, au lieu de la carrière administrative ou militaire réservée aux princes. Son père ne porta-t-il pas lui même à un degré inégalé la divinisation de sa personne ? Le second, Amonherkhépeshef, premier né de Nefertari, adolescent lors de la « défaite victorieuse » de Qadesh, disparaît des inscriptions en l'an 21 du règne, date du traité de paix avec les Hittites, pour être écarté de la succession au trône. Atteint d'une arthrose contre laquelle l'opium ne pouvait rien et qui lui interdit de renouveler les exploits guerriers de sa jeunesse, aveuglé par sa propre gloire, Ramsès II vieillissant ne voit pas venir sa déchéance";"Fiction";"fr";"Gerald Messadié"
"1496";"L'Exécuteur no301 : Les eaux froides d'Arkhangelsk";"Exécuteur";"""Kira a tenu sa promesse. Elle a conduit Mack Bolan jusqu’à Arkhangelsk, une ville portuaire de Russie. Là, le duo rencontre à bord d’un des deux derniers sous-marins nucléaire de classe Typhon, les dirigeants d’Arkangel, la société militaire privée qui emploie Kira. Ces derniers expliquent qu’un nouvel ordre mondial informatique est en train de se mettre en place et qu’Arkangel et ses Vigilants constituent l’ultime rempart contre cette menace invisible qui pèse sur le monde. Mais alors que la nature exacte de la menace va être révélée, le sous-marin nucléaire est attaqué par un commando. In extremis, Bolan et Kira parviennent à s’échapper, emportant avec eux les données concernant leur prochaine mission. Le sous-marin est détruit. Arkangel décapité. Isolé, traqué par un ennemi retors, le duo ne connaît que son prochain objectif : détruire une puissante institution financière européenne responsable de la mort de plusieurs milliers de personnes. Les coffres numériques de cette institution recèlent également un indice quant à la menace fantôme qui pèse sur le monde. """;"Fiction";"fr";"Don Pendleton"
"1497";"L'Amour et tout ce qui va avec";"Harlequin";"Le jour de ses trente ans, Callie Grey doit se rendre à l’évidence : elle attend toujours que son ex petit-ami – qui n’est autre que son patron – la demande en mariage. Un espoir qui s’écroule lorsque Mark lui annonce qu’il est amoureux de sa nouvelle recrue, Miss Perfection, accessoirement fille du plus gros client de l’agence. Et comme si cela ne suffisait pas pour la déprimer totalement, sa mère lui organise une charmante petite fête d’anniversaire... dans le funérarium familial ! Décidée à ne pas de laisser évincer sans réagir, Callie, pour aiguiser la jalousie de Mark, entame alors dans une relation improbable avec Ian McFarland, le nouveau et très séduisant vétérinaire de Georgebury. Certes, Ian semble plus à l’aise avec les animaux qu’avec les humains – et ne parlons pas de la gent féminine... Certes il est psychorigide sur les bords, voire un peu maniaque. Mais Callie, avec son optimisme légendaire, décide de lui laisser sa chance...";"Fiction";"fr";"Kristan Higgins"
"1498";"Et puis encore... que sais-je ?";"Robert Laffont";"Jean Amadou moque - gentiment parfois, avec efficacité toujours - les absurdités, les cocasseries et les travers de la vie des Français. Quand certains associent le scepticisme à l'âge et à la triste raison, Jean Amadou, lui, le tire vers une incorrigible ? et irrésistible ? ironie, se plaisant à donner son avis quand on ne le lui demande pas, et à nous empêcher de penser en rond sans jamais nous donner de leçons. ""Alors que l'historien élabore une vaste fresque, le chroniqueur, lui, esquisse un croquis furtif, instantané d'un fait qui a attiré son attention. Le moraliste, le pamphlétaire ou l'expert ont une tâche facile. Autrement difficile est l'ambition de celui qui veut faire sourire, tâcheron acharné à dérider ses contemporains en commentant des événements qui, au mieux, leur sont indifférents, et au pire les ennuient. On hésite pour la définir entre la fatuité et l'inconscience, l'une et l'autre n'étant d'ailleurs pas incompatibles.""Après ""De quoi j'me mêle!"" (prix Rabelais en 1998), ""Vous n'êtes pas obligés de me croire!"" (prix Antoine-Blondin en 1999), ""Je m'en souviendrai de ce siècle!"", ""Journal d'un bouffon"", ""Et puis encore... que sais-je?"" vient clore une série de recueils de chroniques dont le succès n'a cessé de se confirmer...";"Fiction";"fr";"Jean AMADOU"
"1499";"Petit livre de - Tu connais pas la dernière ? n° 2";"First";"Retrouvez les meilleures blagues de Tu connais pas la dernière ! Des histoires drôles comme on les aime pour animer vos soirées entre amis et faire hurler de rire vos collègues au bureau !";"Fiction";"fr";"François JOUFFA"
"1500";"Cahiers numéro 21";"Grasset";"Le vingt-et-unième volume des Cahiers de l'écrivain et dramaturge français: Figures juives chez Jean Giraudoux";"Fiction";"fr";"Jean Giraudoux"
"1501";"Macchab Academy";"Fayard";"Tu connaissais déjà la Star Academy ? Voilà que ton San-Antonio t'invente Macchab Academy, un reality show vachement drôle... sauf pour les participants à l'émission ! Figure-toi qu'ils se font trucider les uns après les autres, de façon rigolote mais effroyablement cruelle. A commencer par le présentateur, tu sais ? ta vedette préférée du petit écran... Alors, tous en scène, Béru, Pinaud, Berthe et les autres, pour traquer avec moi un sacré tueur en série... télévisée ! San-Antonio";"Fiction";"fr";"Patrice Dard"
"1502";"Je suis parisien... mais je me soigne !";"Parigramme";"Quand on y réfléchit – et, à Paris, c'est une chose qu'on sait faire – ce ne sont pas les sujets d'inquiétude qui manquent dans la Ville lumière. Ni même les véritables phobies. Que ceux qui n'ont jamais suffoqué à l'approche menaçante d'un pigeon ou à la vue d'une répugnante colonie de blattes lèvent le doigt. Mais, par un miraculeux équilibre, la capitale offre autant de remèdes qu'elle suscite de troubles : à chaque névrose, sa cure salvatrice. Dans les pages précieuses de ce guide attendu par tous les phobiques (et tous ceux qui comptent le devenir), l'auteur décrit avec soin tout ce qui fait peur à Paris et tout ce qui guérit de la peur. L'acrophobe (peur extrême des hauteurs), se soignera ainsi par innoculation progressive du stress en gravissant d'abord la Butte aux Cailles (61 mètres), puis Montsouris (78 mètres), puis les Buttes-Chaumont... L'apopathodiaphulatophobe (angoisse de la constipation) absorbera avec profit les raviolis chinois de l'avenue de Choisy, les hamburgers congelés-décongelés-recongelés du Quartier latin, les currys du passage Brady... et leur feu d'artifice de bactéries dysentriques. Il ne négligera pas non plus les nourritures de l'esprit et les vrais lavements que promettent le théâtre subventionné et les films d'auteur. L'arénaphobe (peur du sable) dirigera courageusement ses pas vers Paris Plages pour croquer à belles dents dans un sandwich thérapeutique dont il appréciera la texture croustillante à base de grains de sable craquant sous la dent...";"Fiction";"fr";"Pierre Antilogus"
"1503";"Le sourire du clown - troisième tome";"Izneo";"Le calme est revenu dans la cité des Hauts-Vents. Mieux que ça, le quartier est en liesse. Mourad El Djaout, le jeune bodybuilder, est devenu champion de l’Est de la France. Un événement inédit pour les Hauts-Vents plus habitués à faire la une des journaux pour ses crimes et ses voitures incendiées. Le quartier décide de fêter l’événement en grande pompe sous le regard bienveillant du père Desternod et les caméras de la télévision régionale, trop heureux de montrer les changements spectaculaires intervenus dans la cité en quelques semaines à peine. Tout va donc pour le mieux dans le meilleur des mondes. En apparence tout du moins. Car tout le monde ne partage pas le bonheur général. José, le journaliste qui vit aux Hauts-Vents, mène secrètement une enquête sur Emilio, l’homme de confiance du père Desternod. Et Djin, le jeune clown muet, peut enfin s’expliquer avec sa mère, tout juste sortie de prison, sur l’assassinat de Grocko, 10 ans plus tôt.";"Fiction";"fr";"Luc Brunschwig,Brunschwig"
